,gene,Symbol,description
68871,ENSMUSG00000096291,Gm23933,"predicted gene, 23933"
68872,ENSMUSG00000096565,Gm24100,"predicted gene, 24100"
68873,ENSMUSG00000093854,Gm24310,"predicted gene, 24310"
68874,ENSMUSG00000096046,Gm24969,"predicted gene, 24969"
68875,ENSMUSG00000094465,Gm24306,"predicted gene, 24306"
68877,ENSMUSG00000094068,Gm25156,"predicted gene, 25156"
68878,ENSMUSG00000096281,Gm22255,"predicted gene, 22255"
68879,ENSMUSG00000095428,Gm24418,"predicted gene, 24418"
68880,ENSMUSG00000096161,Gm24639,"predicted gene, 24639"
68881,ENSMUSG00000094610,Gm23076,"predicted gene, 23076"
68882,ENSMUSG00000095476,Gm25077,"predicted gene, 25077"
68883,ENSMUSG00000093830,Gm23145,"predicted gene, 23145"
68884,ENSMUSG00000094099,Gm25823,"predicted gene, 25823"
68885,ENSMUSG00000094093,Gm25647,"predicted gene, 25647"
68886,ENSMUSG00000096328,Gm26337,"predicted gene, 26337"
68888,ENSMUSG00000094604,Gm25874,"predicted gene, 25874"
68889,ENSMUSG00000075968,Gm25089,"predicted gene, 25089"
68890,ENSMUSG00000095031,Gm22348,"predicted gene, 22348"
68891,ENSMUSG00000093824,Gm24799,"predicted gene, 24799"
68892,ENSMUSG00000095091,Gm23660,"predicted gene, 23660"
68893,ENSMUSG00000094034,Gm24653,"predicted gene, 24653"
68894,ENSMUSG00000095425,Gm24417,"predicted gene, 24417"
68895,ENSMUSG00000096811,Gm25088,"predicted gene, 25088"
68896,ENSMUSG00000075726,Gm23254,"predicted gene, 23254"
68897,ENSMUSG00000095491,Gm24088,"predicted gene, 24088"
68899,ENSMUSG00000094554,Gm22391,"predicted gene, 22391"
68900,ENSMUSG00000095511,Gm24137,"predicted gene, 24137"
68901,ENSMUSG00000093943,Gm22834,"predicted gene, 22834"
68902,ENSMUSG00000094095,Gm25648,"predicted gene, 25648"
68903,ENSMUSG00000095714,Gm26467,"predicted gene, 26467"
68904,ENSMUSG00000096812,Gm25087,"predicted gene, 25087"
68905,ENSMUSG00000095713,Gm26466,"predicted gene, 26466"
68909,ENSMUSG00000094060,Gm25157,"predicted gene, 25157"
68910,ENSMUSG00000095639,Gm22941,"predicted gene, 22941"
68911,ENSMUSG00000096868,Gm22258,"predicted gene, 22258"
68912,ENSMUSG00000093929,Gm23862,"predicted gene, 23862"
68913,ENSMUSG00000094890,LOC115486752,small nucleolar RNA SNORD116
68914,ENSMUSG00000096159,Gm24153,"predicted gene, 24153"
68915,ENSMUSG00000094236,Gm24609,"predicted gene, 24609"
68916,ENSMUSG00000094069,Gm25155,"predicted gene, 25155"
68918,ENSMUSG00000096148,Gm25816,"predicted gene, 25816"
68919,ENSMUSG00000094960,Gm22417,"predicted gene, 22417"
68920,ENSMUSG00000096110,Gm26270,"predicted gene, 26270"
68921,ENSMUSG00000094150,Gm23265,"predicted gene, 23265"
68922,ENSMUSG00000094923,Gm24760,"predicted gene, 24760"
68923,ENSMUSG00000096070,Gm25350,"predicted gene, 25350"
68924,ENSMUSG00000095100,LOC115486763,small nucleolar RNA SNORD116
68925,ENSMUSG00000095618,Gm26246,"predicted gene, 26246"
68926,ENSMUSG00000096845,Gm25597,"predicted gene, 25597"
68927,ENSMUSG00000096604,Gm26201,"predicted gene, 26201"
68928,ENSMUSG00000096462,Gm22812,"predicted gene, 22812"
68929,ENSMUSG00000094287,Gm26433,"predicted gene, 26433"
68930,ENSMUSG00000093974,Snord116l17,"small nucleolar RNA, C/D box 116-like 17"
68931,ENSMUSG00000095374,Snord116l16,"small nucleolar RNA, C/D box 116-like 16"
68932,ENSMUSG00000094987,Snord116l15,"small nucleolar RNA, C/D box 116-like 15"
68933,ENSMUSG00000094573,Snord116l13,"small nucleolar RNA, C/D box 116-like 13"
68934,ENSMUSG00000095458,LOC115486773,small nucleolar RNA SNORD116
68935,ENSMUSG00000096313,LOC115486774,small nucleolar RNA SNORD116
68936,ENSMUSG00000096190,LOC115486775,small nucleolar RNA SNORD116
68937,ENSMUSG00000064429,Gm22747,"predicted gene, 22747"
68938,ENSMUSG00000094039,LOC115486777,small nucleolar RNA SNORD116
68939,ENSMUSG00000093971,LOC115486778,small nucleolar RNA SNORD116
68940,ENSMUSG00000094599,LOC115486779,small nucleolar RNA SNORD116
68941,ENSMUSG00000094642,Snord116l10,"small nucleolar RNA, C/D box 116-like 10"
68942,ENSMUSG00000095691,Snord116l11,"small nucleolar RNA, C/D box 116-like 11"
68943,ENSMUSG00000094389,Snord116l14,"small nucleolar RNA, C/D box 116-like 14"
68944,ENSMUSG00000095479,Gm25074,"predicted gene, 25074"
68945,ENSMUSG00000095389,Gm23953,"predicted gene, 23953"
68946,ENSMUSG00000096095,Gm26332,"predicted gene, 26332"
68947,ENSMUSG00000065227,Gm25790,"predicted gene, 25790"
68948,ENSMUSG00000096660,Gm22863,"predicted gene, 22863"
68949,ENSMUSG00000095542,Gm24618,"predicted gene, 24618"
68950,ENSMUSG00000094831,Gm25474,"predicted gene, 25474"
68951,ENSMUSG00000094997,Gm22047,"predicted gene, 22047"
68952,ENSMUSG00000093802,Gm23619,"predicted gene, 23619"
68953,ENSMUSG00000096017,Gm26502,"predicted gene, 26502"
68954,ENSMUSG00000096865,Gm23313,"predicted gene, 23313"
68955,ENSMUSG00000094218,Gm23446,"predicted gene, 23446"
68956,ENSMUSG00000096057,Gm25944,"predicted gene, 25944"
68957,ENSMUSG00000095734,Gm23767,"predicted gene, 23767"
68958,ENSMUSG00000064907,Gm25405,"predicted gene, 25405"
68959,ENSMUSG00000093869,Gm22631,"predicted gene, 22631"
68960,ENSMUSG00000094407,Gm23141,"predicted gene, 23141"
68961,ENSMUSG00000096431,Gm22131,"predicted gene, 22131"
68962,ENSMUSG00000096502,Gm23089,"predicted gene, 23089"
68963,ENSMUSG00000096082,Gm24711,"predicted gene, 24711"
68964,ENSMUSG00000095060,Gm26188,"predicted gene, 26188"
68965,ENSMUSG00000096677,Gm24518,"predicted gene, 24518"
68966,ENSMUSG00000094109,Gm22776,"predicted gene, 22776"
68967,ENSMUSG00000094581,Gm26365,"predicted gene, 26365"
68968,ENSMUSG00000095641,Gm25615,"predicted gene, 25615"
68969,ENSMUSG00000094713,Gm22822,"predicted gene, 22822"
68970,ENSMUSG00000094274,Snord116l12,"small nucleolar RNA, C/D box 116-like 12"
68971,ENSMUSG00000096634,LOC115486810,small nucleolar RNA SNORD116
68972,ENSMUSG00000095349,Gm26097,"predicted gene, 26097"
68973,ENSMUSG00000095155,Gm26032,"predicted gene, 26032"
68974,ENSMUSG00000094994,Gm22046,"predicted gene, 22046"
68975,ENSMUSG00000094837,Gm25471,"predicted gene, 25471"
68976,ENSMUSG00000096302,Gm25210,"predicted gene, 25210"
68977,ENSMUSG00000096305,Gm23047,"predicted gene, 23047"
68978,ENSMUSG00000096248,Gm24264,"predicted gene, 24264"
68979,ENSMUSG00000064971,Gm26054,"predicted gene, 26054"
68980,ENSMUSG00000096231,Gm22584,"predicted gene, 22584"
68981,ENSMUSG00000095045,Gm22851,"predicted gene, 22851"
68983,ENSMUSG00000065659,Gm23103,"predicted gene, 23103"
68984,ENSMUSG00000064600,Gm25636,"predicted gene, 25636"
68985,ENSMUSG00000099280,Gm27991,"predicted gene, 27991"
68986,ENSMUSG00000065165,Gm23815,"predicted gene, 23815"
68988,ENSMUSG00000065118,Gm23297,"predicted gene, 23297"
68989,ENSMUSG00000088784,Gm25370,"predicted gene, 25370"
68990,ENSMUSG00000087781,Gm23168,"predicted gene, 23168"
68996,ENSMUSG00000094229,LOC115486835,U6 spliceosomal RNA
69000,ENSMUSG00000094199,Gm25450,"predicted gene, 25450"
69001,ENSMUSG00000065368,Gm24414,"predicted gene, 24414"
69002,ENSMUSG00000080352,LOC115486841,small nucleolar RNA SNORD88
69003,ENSMUSG00000080683,LOC115486842,small nucleolar RNA SNORD88
69004,ENSMUSG00000070203,Gm22444,"predicted gene, 22444"
69005,ENSMUSG00000080413,LOC115486844,U6atac minor spliceosomal RNA
69006,ENSMUSG00000089375,LOC115486845,small nucleolar RNA SNORD107
69008,ENSMUSG00000088948,LOC115486847,small nucleolar RNA SNORD97
69009,ENSMUSG00000096479,Gm24464,"predicted gene, 24464"
69010,ENSMUSG00000095085,Gm25326,"predicted gene, 25326"
69011,ENSMUSG00000064734,Gm23445,"predicted gene, 23445"
69012,ENSMUSG00000095116,Gm23714,"predicted gene, 23714"
69013,ENSMUSG00000075906,Gm23942,"predicted gene, 23942"
69014,ENSMUSG00000064575,Gm25798,"predicted gene, 25798"
69015,ENSMUSG00000084453,Gm24596,"predicted gene, 24596"
69016,ENSMUSG00000064532,Gm23614,"predicted gene, 23614"
69017,ENSMUSG00000064689,Gm25815,"predicted gene, 25815"
69021,ENSMUSG00000064977,Gm26056,"predicted gene, 26056"
69022,ENSMUSG00000065875,Gm25684,"predicted gene, 25684"
69071,ENSMUSG00000109992,Gm45650,predicted gene 45650
69081,ENSMUSG00000110345,Gm45572,predicted gene 45572
69115,ENSMUSG00000089712,Gm15889,predicted gene 15889
69146,ENSMUSG00000088258,Gm24291,"predicted gene, 24291"
69149,ENSMUSG00000064682,Gm25813,"predicted gene, 25813"
69157,ENSMUSG00000064758,Gm26331,"predicted gene, 26331"
69158,ENSMUSG00000093992,Gm26427,"predicted gene, 26427"
69159,ENSMUSG00000065819,Gm24693,"predicted gene, 24693"
69160,ENSMUSG00000064887,Gm24205,"predicted gene, 24205"
69161,ENSMUSG00000064494,Gm22063,"predicted gene, 22063"
69162,ENSMUSG00000064926,Gm22044,"predicted gene, 22044"
69163,ENSMUSG00000064393,Gm23627,"predicted gene, 23627"
69164,ENSMUSG00000065915,Gm24445,"predicted gene, 24445"
69165,ENSMUSG00000075864,Gm26002,"predicted gene, 26002"
69166,ENSMUSG00000064709,Gm22509,"predicted gene, 22509"
69167,ENSMUSG00000084507,Gm25321,"predicted gene, 25321"
69168,ENSMUSG00000065080,Gm26497,"predicted gene, 26497"
69169,ENSMUSG00000065700,Gm22827,"predicted gene, 22827"
69170,ENSMUSG00000065367,Gm24410,"predicted gene, 24410"
69171,ENSMUSG00000075934,Gm24423,"predicted gene, 24423"
69172,ENSMUSG00000065277,Gm25126,"predicted gene, 25126"
69173,ENSMUSG00000064763,Gm23515,"predicted gene, 23515"
69174,ENSMUSG00000064801,Gm24035,"predicted gene, 24035"
69176,ENSMUSG00000094406,Gm23142,"predicted gene, 23142"
69177,ENSMUSG00000065090,LOC115487016,U6 spliceosomal RNA
69178,ENSMUSG00000095431,Gm26240,"predicted gene, 26240"
69179,ENSMUSG00000064624,Gm22305,"predicted gene, 22305"
69180,ENSMUSG00000065636,Gm24254,"predicted gene, 24254"
69181,ENSMUSG00000065727,Gm26164,"predicted gene, 26164"
69184,ENSMUSG00000077633,Gm22148,"predicted gene, 22148"
69185,ENSMUSG00000077421,Gm24283,"predicted gene, 24283"
69188,ENSMUSG00000087761,Gm23981,"predicted gene, 23981"
69189,ENSMUSG00000088344,Gm22336,"predicted gene, 22336"
69190,ENSMUSG00000088969,Gm22085,"predicted gene, 22085"
69191,ENSMUSG00000088312,Gm26181,"predicted gene, 26181"
69192,ENSMUSG00000089539,Gm25160,"predicted gene, 25160"
69193,ENSMUSG00000089370,Gm22140,"predicted gene, 22140"
69194,ENSMUSG00000089068,Gm22841,"predicted gene, 22841"
69195,ENSMUSG00000087769,Gm23986,"predicted gene, 23986"
69196,ENSMUSG00000089147,Gm25267,"predicted gene, 25267"
69198,ENSMUSG00000065100,Gm26132,"predicted gene, 26132"
69199,ENSMUSG00000095507,Gm22447,"predicted gene, 22447"
69200,ENSMUSG00000096558,Gm23568,"predicted gene, 23568"
69201,ENSMUSG00000095703,Gm24829,"predicted gene, 24829"
69202,ENSMUSG00000095221,Gm23561,"predicted gene, 23561"
69203,ENSMUSG00000094516,Gm24568,"predicted gene, 24568"
69204,ENSMUSG00000065637,LOC115487043,small nucleolar RNA SNORA14
69205,ENSMUSG00000065089,Gm26493,"predicted gene, 26493"
69206,ENSMUSG00000065182,Gm25138,"predicted gene, 25138"
69207,ENSMUSG00000065297,Gm26123,"predicted gene, 26123"
69208,ENSMUSG00000065211,Gm26265,"predicted gene, 26265"
69209,ENSMUSG00000064392,Gm23626,"predicted gene, 23626"
69210,ENSMUSG00000065028,Gm25200,"predicted gene, 25200"
69211,ENSMUSG00000088856,Gm24727,"predicted gene, 24727"
69212,ENSMUSG00000088255,Gm24288,"predicted gene, 24288"
69217,ENSMUSG00000077527,LOC115487056,small nucleolar RNA SNORD41
69218,ENSMUSG00000080480,Gm23494,"predicted gene, 23494"
69220,ENSMUSG00000080437,Gm24274,"predicted gene, 24274"
69222,ENSMUSG00000094537,n-R5s106,nuclear encoded rRNA 5S 106
69223,ENSMUSG00000094178,n-R5s118,nuclear encoded rRNA 5S 118
69224,ENSMUSG00000093852,Gm24312,"predicted gene, 24312"
69225,ENSMUSG00000096785,n-R5s130,nuclear encoded rRNA 5S 130
69226,ENSMUSG00000095073,n-R5s101,nuclear encoded rRNA 5S 101
69227,ENSMUSG00000094455,n-R5s129,nuclear encoded rRNA 5S 129
69228,ENSMUSG00000095449,n-R5s112,nuclear encoded rRNA 5S 112
69229,ENSMUSG00000096855,n-R5s120,nuclear encoded rRNA 5S 120
69230,ENSMUSG00000096092,n-R5s125,nuclear encoded rRNA 5S 125
69231,ENSMUSG00000096613,n-R5s102,nuclear encoded rRNA 5S 102
69232,ENSMUSG00000096599,n-R5s114,nuclear encoded rRNA 5S 114
69233,ENSMUSG00000096132,n-R5s119,nuclear encoded rRNA 5S 119
69234,ENSMUSG00000096367,n-R5s107,nuclear encoded rRNA 5S 107
69235,ENSMUSG00000096358,n-R5s131,nuclear encoded rRNA 5S 131
69236,ENSMUSG00000095915,n-R5s115,nuclear encoded rRNA 5S 115
69237,ENSMUSG00000094265,n-R5s109,nuclear encoded rRNA 5S 109
69305,ENSMUSG00000110839,Gm47800,"predicted gene, 47800"
69324,ENSMUSG00000098590,Vsig10l2,V-set and immunoglobulin domain containing 10 like 2
69334,ENSMUSG00000111296,LOC115487174,uncharacterized LOC115487174
69348,ENSMUSG00000111806,Gm47403,"predicted gene, 47403"
69394,ENSMUSG00000065674,Gm24259,"predicted gene, 24259"
69395,ENSMUSG00000064517,Gm22454,"predicted gene, 22454"
69396,ENSMUSG00000064921,Gm22229,"predicted gene, 22229"
69397,ENSMUSG00000096559,Gm23567,"predicted gene, 23567"
69398,ENSMUSG00000077248,Gm23275,"predicted gene, 23275"
69401,ENSMUSG00000084638,Gm23889,"predicted gene, 23889"
69405,ENSMUSG00000088622,Gm23316,"predicted gene, 23316"
69406,ENSMUSG00000088708,Gm25558,"predicted gene, 25558"
69409,ENSMUSG00000088793,Gm22540,"predicted gene, 22540"
69410,ENSMUSG00000087871,Gm26101,"predicted gene, 26101"
69411,ENSMUSG00000088044,Gm23326,"predicted gene, 23326"
69416,ENSMUSG00000064380,Gm26448,"predicted gene, 26448"
69417,ENSMUSG00000088076,Gm22815,"predicted gene, 22815"
69418,ENSMUSG00000089066,Gm22836,"predicted gene, 22836"
69419,ENSMUSG00000088296,Gm26409,"predicted gene, 26409"
69420,ENSMUSG00000064918,Gm22571,"predicted gene, 22571"
69421,ENSMUSG00000064514,LOC115487261,small nucleolar RNA SNORD18
69422,ENSMUSG00000065752,Gm23344,"predicted gene, 23344"
69423,ENSMUSG00000095868,Gm23136,"predicted gene, 23136"
69425,ENSMUSG00000084690,Gm24896,"predicted gene, 24896"
69427,ENSMUSG00000094179,LOC115487267,small nucleolar RNA SNORD50
69428,ENSMUSG00000096191,LOC115487268,small nucleolar RNA SNORD50
69429,ENSMUSG00000094263,LOC115487269,small nucleolar RNA SNORD50
69430,ENSMUSG00000096473,LOC115487270,small nucleolar RNA SNORD50
69431,ENSMUSG00000095772,LOC115487271,small nucleolar RNA SNORD50
69432,ENSMUSG00000064797,LOC115487272,small nucleolar RNA Z40
69433,ENSMUSG00000065226,LOC115487273,small nucleolar RNA SNORA8
69436,ENSMUSG00000065663,LOC115487276,small nucleolar RNA SNORA25
69437,ENSMUSG00000065274,Gm25125,"predicted gene, 25125"
69438,ENSMUSG00000064634,LOC115487278,small nucleolar RNA SNORA1
69439,ENSMUSG00000064658,Gm24166,"predicted gene, 24166"
69440,ENSMUSG00000077666,Gm26146,"predicted gene, 26146"
69442,ENSMUSG00000065282,LOC115487282,small nucleolar RNA SNORA18
69443,ENSMUSG00000077394,Gm24339,"predicted gene, 24339"
69444,ENSMUSG00000088056,Gm24262,"predicted gene, 24262"
69447,ENSMUSG00000088635,Gm22315,"predicted gene, 22315"
69449,ENSMUSG00000064889,Gm24200,"predicted gene, 24200"
69459,ENSMUSG00000064855,Gm24526,"predicted gene, 24526"
69460,ENSMUSG00000065934,LOC115487300,U1 spliceosomal RNA
69463,ENSMUSG00000065122,Gm26126,"predicted gene, 26126"
69464,ENSMUSG00000088810,Gm22382,"predicted gene, 22382"
69466,ENSMUSG00000088398,Gm26306,"predicted gene, 26306"
69467,ENSMUSG00000088254,Gm24289,"predicted gene, 24289"
69468,ENSMUSG00000077702,LOC115487308,small nucleolar RNA SNORD105
69471,ENSMUSG00000088929,LOC115487311,small nucleolar RNA SNORD5
69472,ENSMUSG00000089571,LOC115487312,small nucleolar RNA U105B
69474,ENSMUSG00000065620,Gm24764,"predicted gene, 24764"
69478,ENSMUSG00000093137,Gm25995,"predicted gene, 25995"
69485,ENSMUSG00000095738,Gm25313,"predicted gene, 25313"
69486,ENSMUSG00000094201,Gm25064,"predicted gene, 25064"
69487,ENSMUSG00000101392,Gm29163,predicted gene 29163
69488,ENSMUSG00000094717,Gm22821,"predicted gene, 22821"
69489,ENSMUSG00000096412,Gm25484,"predicted gene, 25484"
69491,ENSMUSG00000096786,Gm24641,"predicted gene, 24641"
69492,ENSMUSG00000094895,Gm22286,"predicted gene, 22286"
69493,ENSMUSG00000096639,Gm22169,"predicted gene, 22169"
69494,ENSMUSG00000095068,Gm26189,"predicted gene, 26189"
69495,ENSMUSG00000094255,Gm25633,"predicted gene, 25633"
69496,ENSMUSG00000064492,Gm22060,"predicted gene, 22060"
69497,ENSMUSG00000094366,Gm23730,"predicted gene, 23730"
69498,ENSMUSG00000064673,Gm22805,"predicted gene, 22805"
69499,ENSMUSG00000064735,Gm23057,"predicted gene, 23057"
69500,ENSMUSG00000096018,Gm26435,"predicted gene, 26435"
69501,ENSMUSG00000065301,Gm23248,"predicted gene, 23248"
69502,ENSMUSG00000096202,Gm22069,"predicted gene, 22069"
69503,ENSMUSG00000065382,Gm23097,"predicted gene, 23097"
69504,ENSMUSG00000064909,Gm25401,"predicted gene, 25401"
69505,ENSMUSG00000084437,LOC115487345,U6 spliceosomal RNA
69570,ENSMUSG00000112224,Gm47944,"predicted gene, 47944"
69608,ENSMUSG00000111171,Gm47815,"predicted gene, 47815"
69646,ENSMUSG00000111098,Gm48057,"predicted gene, 48057"
69648,ENSMUSG00000094906,Gm23573,"predicted gene, 23573"
69649,ENSMUSG00000077265,Gm24430,"predicted gene, 24430"
69650,ENSMUSG00000077582,Gm24374,"predicted gene, 24374"
69652,ENSMUSG00000084569,Gm26479,"predicted gene, 26479"
69654,ENSMUSG00000084449,Gm26257,"predicted gene, 26257"
69655,ENSMUSG00000087718,Gm22236,"predicted gene, 22236"
69656,ENSMUSG00000089369,Gm23819,"predicted gene, 23819"
69657,ENSMUSG00000089608,Gm22503,"predicted gene, 22503"
69661,ENSMUSG00000089124,Gm26402,"predicted gene, 26402"
69662,ENSMUSG00000088253,Gm24285,"predicted gene, 24285"
69663,ENSMUSG00000089019,Gm25522,"predicted gene, 25522"
69666,ENSMUSG00000065181,Gm25139,"predicted gene, 25139"
69667,ENSMUSG00000088343,Gm22339,"predicted gene, 22339"
69668,ENSMUSG00000088407,Gm25884,"predicted gene, 25884"
69669,ENSMUSG00000088987,Gm25602,"predicted gene, 25602"
69672,ENSMUSG00000064432,Gm25587,"predicted gene, 25587"
69673,ENSMUSG00000077440,LOC115487513,small nucleolar RNA SNORD101
69674,ENSMUSG00000064778,Snord59a,"small nucleolar RNA, C/D box 59A"
69675,ENSMUSG00000093443,LOC115487515,Z6 small nucleolar RNA
69676,ENSMUSG00000093784,LOC115487516,Z6 small nucleolar RNA
69677,ENSMUSG00000064609,Gm25635,"predicted gene, 25635"
69678,ENSMUSG00000065876,Gm25682,"predicted gene, 25682"
69679,ENSMUSG00000065692,Gm25410,"predicted gene, 25410"
69680,ENSMUSG00000065086,Gm26495,"predicted gene, 26495"
69681,ENSMUSG00000065653,Gm23105,"predicted gene, 23105"
69682,ENSMUSG00000087819,Gm25117,"predicted gene, 25117"
69683,ENSMUSG00000088423,Gm22554,"predicted gene, 22554"
69686,ENSMUSG00000065096,Gm23680,"predicted gene, 23680"
69689,ENSMUSG00000065718,Gm25650,"predicted gene, 25650"
69690,ENSMUSG00000065371,Gm22739,"predicted gene, 22739"
69691,ENSMUSG00000065792,Gm25515,"predicted gene, 25515"
69692,ENSMUSG00000088857,Gm24726,"predicted gene, 24726"
69693,ENSMUSG00000088447,Gm22186,"predicted gene, 22186"
69694,ENSMUSG00000077167,Gm24119,"predicted gene, 24119"
69695,ENSMUSG00000088151,Gm26347,"predicted gene, 26347"
69696,ENSMUSG00000088412,Gm24241,"predicted gene, 24241"
69698,ENSMUSG00000064707,Gm22507,"predicted gene, 22507"
69702,ENSMUSG00000089182,Gm22945,"predicted gene, 22945"
69709,ENSMUSG00000096766,Gm23793,"predicted gene, 23793"
69710,ENSMUSG00000094977,Gm25256,"predicted gene, 25256"
69711,ENSMUSG00000094703,Gm24486,"predicted gene, 24486"
69712,ENSMUSG00000096357,Gm25709,"predicted gene, 25709"
69713,ENSMUSG00000094452,Gm22623,"predicted gene, 22623"
69714,ENSMUSG00000096598,Gm26239,"predicted gene, 26239"
69715,ENSMUSG00000095023,Gm24019,"predicted gene, 24019"
69716,ENSMUSG00000095615,Gm26243,"predicted gene, 26243"
69717,ENSMUSG00000093967,Gm26180,"predicted gene, 26180"
69718,ENSMUSG00000096790,Gm22995,"predicted gene, 22995"
69719,ENSMUSG00000096692,Gm23191,"predicted gene, 23191"
69720,ENSMUSG00000094738,Gm26177,"predicted gene, 26177"
69721,ENSMUSG00000094521,Gm22911,"predicted gene, 22911"
69722,ENSMUSG00000094008,Gm24168,"predicted gene, 24168"
69723,ENSMUSG00000094663,Gm25626,"predicted gene, 25626"
69724,ENSMUSG00000096809,LOC115487564,U6 spliceosomal RNA
69725,ENSMUSG00000065220,Gm25794,"predicted gene, 25794"
69726,ENSMUSG00000065705,Gm22829,"predicted gene, 22829"
69727,ENSMUSG00000095305,Gm23790,"predicted gene, 23790"
69728,ENSMUSG00000096208,Gm22070,"predicted gene, 22070"
69729,ENSMUSG00000094033,Gm24655,"predicted gene, 24655"
69730,ENSMUSG00000070214,Gm23058,"predicted gene, 23058"
69731,ENSMUSG00000096841,Gm25596,"predicted gene, 25596"
69732,ENSMUSG00000065802,Gm23041,"predicted gene, 23041"
69733,ENSMUSG00000094681,Gm25740,"predicted gene, 25740"
69734,ENSMUSG00000064630,Gm25143,"predicted gene, 25143"
69736,ENSMUSG00000064948,Gm23241,"predicted gene, 23241"
69737,ENSMUSG00000096047,n-R5s211,nuclear encoded rRNA 5S 211
69738,ENSMUSG00000094820,Gm23805,"predicted gene, 23805"
69739,ENSMUSG00000095636,Gm22950,"predicted gene, 22950"
69740,ENSMUSG00000094245,Gm23966,"predicted gene, 23966"
69741,ENSMUSG00000065260,Gm23453,"predicted gene, 23453"
69742,ENSMUSG00000095281,Gm22549,"predicted gene, 22549"
69743,ENSMUSG00000096866,Gm22260,"predicted gene, 22260"
69744,ENSMUSG00000096085,Gm24465,"predicted gene, 24465"
69745,ENSMUSG00000065340,Gm25578,"predicted gene, 25578"
69746,ENSMUSG00000070175,Gm24162,"predicted gene, 24162"
69747,ENSMUSG00000075952,Gm23422,"predicted gene, 23422"
69748,ENSMUSG00000094768,Gm25524,"predicted gene, 25524"
69749,ENSMUSG00000065192,Gm23460,"predicted gene, 23460"
69750,ENSMUSG00000096676,Gm24517,"predicted gene, 24517"
69751,ENSMUSG00000096547,Gm25235,"predicted gene, 25235"
69752,ENSMUSG00000094979,Gm25253,"predicted gene, 25253"
69753,ENSMUSG00000064737,Gm23056,"predicted gene, 23056"
69754,ENSMUSG00000064842,Gm26206,"predicted gene, 26206"
69756,ENSMUSG00000095121,Gm23216,"predicted gene, 23216"
69757,ENSMUSG00000065223,Gm25792,"predicted gene, 25792"
69758,ENSMUSG00000070182,Gm24817,"predicted gene, 24817"
69759,ENSMUSG00000087875,Gm26104,"predicted gene, 26104"
69760,ENSMUSG00000077207,Gm25609,"predicted gene, 25609"
69761,ENSMUSG00000065625,Gm24765,"predicted gene, 24765"
69762,ENSMUSG00000064395,Gm23623,"predicted gene, 23623"
69763,ENSMUSG00000095504,Gm22446,"predicted gene, 22446"
69764,ENSMUSG00000064688,Gm25814,"predicted gene, 25814"
69765,ENSMUSG00000064954,Gm24919,"predicted gene, 24919"
69766,ENSMUSG00000065787,Gm22681,"predicted gene, 22681"
69767,ENSMUSG00000064845,Gm26203,"predicted gene, 26203"
69768,ENSMUSG00000095780,LOC115487608,U6 spliceosomal RNA
69769,ENSMUSG00000064389,Gm26446,"predicted gene, 26446"
69770,ENSMUSG00000064601,Gm25634,"predicted gene, 25634"
69771,ENSMUSG00000094214,Gm23448,"predicted gene, 23448"
69772,ENSMUSG00000084558,Gm24836,"predicted gene, 24836"
69773,ENSMUSG00000096117,Gm26271,"predicted gene, 26271"
69774,ENSMUSG00000087823,Gm22281,"predicted gene, 22281"
69775,ENSMUSG00000095393,Gm25619,"predicted gene, 25619"
69777,ENSMUSG00000084740,Gm25294,"predicted gene, 25294"
69778,ENSMUSG00000088432,LOC115487618,U6 spliceosomal RNA
69779,ENSMUSG00000088167,Gm23535,"predicted gene, 23535"
69782,ENSMUSG00000088961,Gm22089,"predicted gene, 22089"
69783,ENSMUSG00000084550,Gm25269,"predicted gene, 25269"
69785,ENSMUSG00000087782,Gm23169,"predicted gene, 23169"
69786,ENSMUSG00000089206,Gm26214,"predicted gene, 26214"
69788,ENSMUSG00000088750,Gm24901,"predicted gene, 24901"
69789,ENSMUSG00000089057,Gm23349,"predicted gene, 23349"
69790,ENSMUSG00000088620,Gm23032,"predicted gene, 23032"
69795,ENSMUSG00000089489,Gm24732,"predicted gene, 24732"
69796,ENSMUSG00000089420,Gm27934,"predicted gene, 27934"
69798,ENSMUSG00000064816,LOC115487638,small nucleolar RNA SNORD24
69799,ENSMUSG00000077413,Gm23389,"predicted gene, 23389"
69800,ENSMUSG00000065228,LOC115487640,small nucleolar RNA SNORD81
69801,ENSMUSG00000064612,Gm26457,"predicted gene, 26457"
69802,ENSMUSG00000065905,Gm26110,"predicted gene, 26110"
69803,ENSMUSG00000064440,LOC115487643,small nucleolar RNA SNORD74
69804,ENSMUSG00000084667,LOC115487644,small nucleolar RNA SNORD44
69805,ENSMUSG00000065735,LOC115487645,small nucleolar RNA snR60/Z15/Z230/Z193/J17
69806,ENSMUSG00000065687,Gm23734,"predicted gene, 23734"
69807,ENSMUSG00000064435,Gm25588,"predicted gene, 25588"
69809,ENSMUSG00000106307,Gm23370,"predicted gene, 23370"
69810,ENSMUSG00000064967,Gm24405,"predicted gene, 24405"
69811,ENSMUSG00000065255,Gm23974,"predicted gene, 23974"
69812,ENSMUSG00000087930,Gm26048,"predicted gene, 26048"
69813,ENSMUSG00000089190,Gm25771,"predicted gene, 25771"
69817,ENSMUSG00000065215,Gm26263,"predicted gene, 26263"
69826,ENSMUSG00000065865,Gm24030,"predicted gene, 24030"
